hotel_name,rating
Stay_Alfred_on_G_Street,5
Blue_Heron_Cottages,4.5
Vantaggio_Suite_Hillcrest,3.5
Dunaway_Bed_Breakfast,5
Waterfront_Convention_Center_Condos_by_Barsala,3
Madison_San_Diego,1.5
Chic_Gaslamp_Quarter_Suites_By_Sonder,1.5
E_Z_8_Motel_South_Bay,1.5
Walk_to_Gaslamp_Convention_Suite,1
Sunshine_Suites_at_The_Crossroads,1
Sunshine_Suites_at_Little_Italy,2
Stay_Alfred_on_7th_Avenue,1
Santa_Fe_Park_RV_Resort,2
RK_Buckner_Hostel,2.5
West_Park_Inn,2
Hostel_Habibi,2.5
San_Diego_Motel,1
